Base,ClimateID, WeatherID,jday,date,Hour,Srad,temperature,rain,wind,RH,CO2
BARC,BARC,FSP,121,05/01/2005,0,0,14.9,0,0.63,105,379
BARC,BARC,FSP,121,05/01/2005,1,0,14.8,0,2.34,103.5,379
BARC,BARC,FSP,121,05/01/2005,2,0,13.8,0,3.32,97.6,379
BARC,BARC,FSP,121,05/01/2005,3,0,13,0.25,2.22,98.9,379
BARC,BARC,FSP,121,05/01/2005,4,0,12.5,0.25,3.81,97.5,379
BARC,BARC,FSP,121,05/01/2005,5,0,11.7,0.25,4.6,94.125,379
BARC,BARC,FSP,121,05/01/2005,6,0.0189,10.4,0.76,3.88,96.7,379
BARC,BARC,FSP,121,05/01/2005,7,0.0954,10,0,3.33,93.6,379
BARC,BARC,FSP,121,05/01/2005,8,0.4221,10.3,0,4.58,85.4,379
BARC,BARC,FSP,121,05/01/2005,9,1.2069,11.1,0,4.97,76.5,379
BARC,BARC,FSP,121,05/01/2005,10,2.6028,13.1875,0,4.88,68.1,379
BARC,BARC,FSP,121,05/01/2005,11,2.988,14.7,0,5.1,61.7,379
BARC,BARC,FSP,121,05/01/2005,12,3.2418,15.8,0,6.52,54.2,379
BARC,BARC,FSP,121,05/01/2005,13,2.7864,16,0,5.73,52.3,379
BARC,BARC,FSP,121,05/01/2005,14,3.2931,16.6,0,5.83,49.7,379
BARC,BARC,FSP,121,05/01/2005,15,2.8053,16.8,0,6.11,45.9,379
BARC,BARC,FSP,121,05/01/2005,16,1.9935,16.9,0,5.78,42.6,379
BARC,BARC,FSP,121,05/01/2005,17,1.3572,17,0,5.04,40.7,379
BARC,BARC,FSP,121,05/01/2005,18,0.7461,16.5,0,4.83,39.9,379
BARC,BARC,FSP,121,05/01/2005,19,0.1575,15.4,0,3.73,40.5,379
BARC,BARC,FSP,121,05/01/2005,20,0.0009,13.3,0,2.1,48.2,379
BARC,BARC,FSP,121,05/01/2005,21,0,11.5,0,1.87,58,379
BARC,BARC,FSP,121,05/01/2005,22,0,10.6,0,1.85,61.9,379
BARC,BARC,FSP,121,05/01/2005,23,0,9.78,0,1.06,65.4,379
BARC,BARC,FSP,122,05/02/2005,0,0,5.87,0,0.33,92.8,379
BARC,BARC,FSP,122,05/02/2005,1,0,4.96,0,0.051,96.8,379
BARC,BARC,FSP,122,05/02/2005,2,0,4.81,0,0,100,379
BARC,BARC,FSP,122,05/02/2005,3,0,5,0,0,102,379
BARC,BARC,FSP,122,05/02/2005,4,0,4.41,0,0,102,379
BARC,BARC,FSP,122,05/02/2005,5,0.0018,3.4,0,0,103,379
BARC,BARC,FSP,122,05/02/2005,6,0.2043,3.42,0,0,103,379
BARC,BARC,FSP,122,05/02/2005,7,0.6075,7.19,0,0.032,101,379
BARC,BARC,FSP,122,05/02/2005,8,1.3482,12.4,0,2.17,75.2,379
BARC,BARC,FSP,122,05/02/2005,9,2.1897,15.4,0,3.35,53.7,379
BARC,BARC,FSP,122,05/02/2005,10,2.1744,16.5,0,4.29,46.5,379
BARC,BARC,FSP,122,05/02/2005,11,1.7667,16.7,0,3.8,44.9,379
BARC,BARC,FSP,122,05/02/2005,12,1.1034,15.8,0,4,47.5,379
BARC,BARC,FSP,122,05/02/2005,13,1.2051,15.8,0,4.98,48.2,379
BARC,BARC,FSP,122,05/02/2005,14,0.846,15.6,0,3.97,49.2,379
BARC,BARC,FSP,122,05/02/2005,15,0.3339,13.5,0,5.57,65.1,379
BARC,BARC,FSP,122,05/02/2005,16,0.4752,11,0,4.51,81.875,379
BARC,BARC,FSP,122,05/02/2005,17,0.6822,10.8,0,2.52,82,379
BARC,BARC,FSP,122,05/02/2005,18,0.4941,11.4,0,1.6,73.7,379
BARC,BARC,FSP,122,05/02/2005,19,0.1521,11.2,0,2.37,68.4,379
BARC,BARC,FSP,122,05/02/2005,20,0.0009,9.27,0,1.95,74.1,379
BARC,BARC,FSP,122,05/02/2005,21,0,8,0,1.38,77.6,379
BARC,BARC,FSP,122,05/02/2005,22,0,7.54,0,1.52,77.8,379
BARC,BARC,FSP,122,05/02/2005,23,0,4.55,0,0.47,95.9,379
BARC,BARC,FSP,123,05/03/2005,0,0,2.78,0,0.52,102,379
BARC,BARC,FSP,123,05/03/2005,1,0,1.91,0,0.55,104,379
BARC,BARC,FSP,123,05/03/2005,2,0,1.63,0,0.54,104,379
BARC,BARC,FSP,123,05/03/2005,3,0,0.93,0,0.45,104,379
BARC,BARC,FSP,123,05/03/2005,4,0,0.85,0,0.086,105,379
BARC,BARC,FSP,123,05/03/2005,5,0.0027,0.24,0,0.18,105,379
BARC,BARC,FSP,123,05/03/2005,6,0.2241,0.52,0,0.041,105,379
BARC,BARC,FSP,123,05/03/2005,7,0.6345,4.31,0,0.068,104,379
BARC,BARC,FSP,123,05/03/2005,8,1.4247,8.71,0,1.46,81.1,379
BARC,BARC,FSP,123,05/03/2005,9,2.1375,11.1,0,2.63,61.7,379
BARC,BARC,FSP,123,05/03/2005,10,2.6946,12.1,0,3.36,53.3,379
BARC,BARC,FSP,123,05/03/2005,11,2.7171,12.9,0,3.52,49.7,379
BARC,BARC,FSP,123,05/03/2005,12,2.6838,13.1,0,3.98,51.1,379
BARC,BARC,FSP,123,05/03/2005,13,2.0997,13.3,0,3.69,51.2,379
BARC,BARC,FSP,123,05/03/2005,14,2.8089,14.2,0,3.33,48.2,379
BARC,BARC,FSP,123,05/03/2005,15,1.9404,14.5,0,2.94,48.3,379
BARC,BARC,FSP,123,05/03/2005,16,1.332,14.6,0,1.75,47.6,379
BARC,BARC,FSP,123,05/03/2005,17,0.5409,14.3,0,0.87,49.9,379
BARC,BARC,FSP,123,05/03/2005,18,0.2961,13.9,0,1.09,53,379
BARC,BARC,FSP,123,05/03/2005,19,0.0648,13.3,0,1.1,57.3,379
BARC,BARC,FSP,123,05/03/2005,20,0,12,0,0.43,67.9,379
BARC,BARC,FSP,123,05/03/2005,21,0,11.5,0,0.17,74.6,379
BARC,BARC,FSP,123,05/03/2005,22,0,10.7,0,0.46,80.5,379
BARC,BARC,FSP,123,05/03/2005,23,0,11.1,0,0.51,77.625,379
BARC,BARC,FSP,124,05/04/2005,0,0,10.2,0,0.65,85.8,379
BARC,BARC,FSP,124,05/04/2005,1,0,9.07,0,0.18,87.9,379
BARC,BARC,FSP,124,05/04/2005,2,0,8.53,0,0.008,88.4,379
BARC,BARC,FSP,124,05/04/2005,3,0,7.82,0,0.066,91.2,379
BARC,BARC,FSP,124,05/04/2005,4,0,8.46,0,0.25,81.4,379
BARC,BARC,FSP,124,05/04/2005,5,0.0009,8.23,0,0,81.6,379
BARC,BARC,FSP,124,05/04/2005,6,0.0837,8.23,0,0,86.6,379
BARC,BARC,FSP,124,05/04/2005,7,0.3114,8.69,0,0.087,90.6,379
BARC,BARC,FSP,124,05/04/2005,8,0.7065,10.25,0,0.22,75.1,379
BARC,BARC,FSP,124,05/04/2005,9,1.2609,11.9,0,0.32,62,379
BARC,BARC,FSP,124,05/04/2005,10,2.4444,13.4,0,0.73,55.4,379
BARC,BARC,FSP,124,05/04/2005,11,2.5686,14.3,0,1.08,52.7,379
BARC,BARC,FSP,124,05/04/2005,12,1.6677,14.3,0,2.34,51.8,379
BARC,BARC,FSP,124,05/04/2005,13,1.575,14,0,2.71,53.6,379
BARC,BARC,FSP,124,05/04/2005,14,1.8531,14.6,0,1.77,53.2,379
BARC,BARC,FSP,124,05/04/2005,15,2.7099,15.8,0,1.54,48.5,379
